Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
the-weight-of-quiet-rooms,The Weight of Quiet Rooms,"<p>A widowed cartographer retraces the maps of her marriage across a fading provincial town. A luminous meditation on memory, silence, and the things we choose not to say.</p>",Adeline Marsh,Classics,Classics,TRUE,Format,Paperback,VLM-1000,,deny,manual,18.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-weight-of-quiet-rooms.jpg,1,The Weight of Quiet Rooms by Adeline Marsh — original Vellum cover,The Weight of Quiet Rooms — Adeline Marsh,"A widowed cartographer retraces the maps of her marriage across a fading provincial town. A luminous meditation on memory, silence, and the things we choose not to say.",active
the-weight-of-quiet-rooms,,,,,,,Format,Hardcover,VLM-1001,,deny,manual,28.00,,TRUE,TRUE,,,,,,
a-country-of-small-rain,A Country of Small Rain,"<p>Three generations of a farming family weather a slow-moving drought and the secrets it unearths. Spare, unhurried prose in the great pastoral tradition.</p>",Silas Renner,Classics,Classics,TRUE,Format,Paperback,VLM-1002,,deny,manual,17.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/a-country-of-small-rain.jpg,1,A Country of Small Rain by Silas Renner — original Vellum cover,A Country of Small Rain — Silas Renner,"Three generations of a farming family weather a slow-moving drought and the secrets it unearths. Spare, unhurried prose in the great pastoral tradition.",active
a-country-of-small-rain,,,,,,,Format,Hardcover,VLM-1003,,deny,manual,27.00,,TRUE,TRUE,,,,,,
a-country-of-small-rain,,,,,,,Format,eBook,VLM-1004,,deny,manual,11.00,,FALSE,TRUE,,,,,,
the-glasswrights-daughter,The Glasswright's Daughter,"<p>In a coastal city of artisans, a young woman inherits her father's workshop and his unfinished feud. A stately novel of craft, class, and inheritance.</p>",Cordelia Vane,Classics,Classics,TRUE,Format,Paperback,VLM-1005,,deny,manual,19.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-glasswrights-daughter.jpg,1,The Glasswright's Daughter by Cordelia Vane — original Vellum cover,The Glasswright's Daughter — Cordelia Vane,"In a coastal city of artisans, a young woman inherits her father's workshop and his unfinished feud. A stately novel of craft, class, and inheritance.",active
the-glasswrights-daughter,,,,,,,Format,Hardcover,VLM-1006,,deny,manual,30.00,,TRUE,TRUE,,,,,,
everything-is-almost-true,Everything Is Almost True,"<p>Four former roommates reunite for a funeral and a reckoning. Sharp, funny, and quietly devastating.</p>",June Calloway,Contemporary,Contemporary,TRUE,Format,Paperback,VLM-1007,,deny,manual,18.00,24.00,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/everything-is-almost-true.jpg,1,Everything Is Almost True by June Calloway — original Vellum cover,Everything Is Almost True — June Calloway,"Four former roommates reunite for a funeral and a reckoning. Sharp, funny, and quietly devastating.",active
everything-is-almost-true,,,,,,,Format,Hardcover,VLM-1008,,deny,manual,29.00,,TRUE,TRUE,,,,,,
static-season,Static Season,"<p>A sound engineer chases a vanished singer through a city that never stops humming. A propulsive novel about noise, love, and attention.</p>",Marcus Adeyemi,Contemporary,Contemporary,TRUE,Format,Paperback,VLM-1009,,deny,manual,18.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/static-season.jpg,1,Static Season by Marcus Adeyemi — original Vellum cover,Static Season — Marcus Adeyemi,"A sound engineer chases a vanished singer through a city that never stops humming. A propulsive novel about noise, love, and attention.",active
